車	3034
ふと	3023
戸	3021
低い	3019
我	3018
もと	3016
銭	3016
字	3009
別	3005
終る	3001
すでに	2998
かえって	2992
気がつく	2992
教える	2980
やす	2976
品	2975
すこし	2966
限り	2961
1	2958
いらっしゃる	2957
もっとも	2956
姉	2955
時々	2949
とうとう	2948
雲	2941
理由	2940
側	2936
突然	2933
行	2931
白	2928
悲しい	2917
運動	2915
扉	2913
旦那	2911
初めて	2908
辺	2907
つづける	2906
なぞ	2904
親	2904
屋敷	2902
女中	2895
諸	2894
では	2893
古い	2891
息	2890
うまい	2888
んで	2882
える	2881
然し	2880
美	2878
吉	2877
草	2876
以前	2864
世	2863
振る	2856
愛	2852
いくら	2851
その後	2848
政治	2844
やら	2843
求める	2842
相当	2842
主	2836
王	2834
無	2833
化	2825
裏	2816
馬鹿	2814
ま	2813
髪	2810
文	2804
どういう	2804
現在	2797
妹	2794
なくなる	2788
秋	2785
次郎	2783
許す	2781
反対	2781
別に	2781
夫婦	2780
場所	2773
川	2771
あける	2767
ぼく	2759
戻る	2759
母親	2756
なるほど	2756
妾	2755
膝	2753
あらゆる	2749
理解	2742
味	2741
出かける	2740
真	2736
森	2735
我々	2728
続く	2726
紙	2722
支る	2721
込む	2717
幸福	2716
だれ	2712
更に	2711
寺	2708
あんな	2708
無理	2707
着物	2706
まったく	2703
そば	2690
と共に	2688
代	2687
縁	2686
やっと	2685
土地	2683
安心	2678
むしろ	2677
少しも	2676
旅	2675
経験	2674
起きる	2674
売る	2673
黒	2672
だの	2666
本当に	2665
尋ねる	2664
ずつ	2651
す	2650
可	2643
眠る	2638
向く	2637
人物	2636
わが	2629
用	2627
これら	2625
机	2623
己	2621
寒い	2619
寄る	2618
料理	2617
明るい	2610
どんなに	2605
書	2599
今夜	2594
苦しい	2591
宿	2590
床	2587
路	2586
着く	2585
そのもの	2576
やって来る	2567
かなり	2567
でる	2553
目的	2552
当る	2552
一体	2549
仏	2546
生れる	2544
状態	2537
林	2534
一寸	2532
土	2529
起す	2527
必ず	2525
成る	2523
事情	2523
明日	2519
西洋	2519
作	2511
天	2509
軒	2509
たって	2504
ものの	2503
相	2501
表	2501
源	2495
空気	2494
急ぐ	2491
おい	2490
つづく	2490
教育	2489
穴	2486
鳥	2479
初め	2478
訊く	2477
そんなに	2476
不安	2472
表現	2470
抱く	2469
時分	2469
開ける	2467
その他	2465
かえる	2465
勿論	2465
あがる	2463
語	2462
特に	2460
さっき	2460
ずっと	2458
生命	2457
せい	2457
はじめ	2456
みたい	2455
箱	2454
同じる	2449
秘密	2449
重い	2447
じゃあ	2438
階級	2437
ノ	2437
興味	2433
元	2431
以来	2429
続ける	2428
近づく	2426
罪	2425
いかにも	2418
額	2418
きょう	2417
指	2416
恋	2414
押す	2412
×	2410
掛ける	2410
台	2410
詩	2407
銀	2405
自己	2404
籠	2402
這入る	2401
かしら	2401
自ら	2398
とおり	2391
人生	2385
軽い	2385
愛す	2382
太郎	2380
里	2379
残す	2377
本当	2375
降りる	2372
ち	2372
クリストフ	2368
号	2368
たつ	2367
動かす	2366
光る	2365
怖い	2364
隠す	2361
余り	2354
高	2353
畳	2352
限る	2352
きり	2351
弟	2351
だんだん	2350
おいで	2346
ふう	2341
全体	2337
何だか	2337
燈	2331
喜ぶ	2327
不	2325
共	2324
於く	2322
何処	2318
さらに	2316
両手	2311
青い	2311
確か	2311
貴方	2310
写真	2308
葉子	2307
同様	2301
小屋	2301
け	2301
橋	2296
当然	2295
頬	2292
芝居	2289
魚	2288
渡る	2287
刀	2287
鳴る	2282
赤	2282
述べる	2280
じ	2277
聴く	2266
かた	2264
及ぶ	2262
一時	2261
街	2258
相談	2258
＊	2257
嬉しい	2254
波	2252
批評	2251
における	2250
椅子	2247
廊下	2247
瞬間	2245
概念	2244
即ち	2243
枝	2243
われ	2243
言	2241
冬	2239
杯	2235
音楽	2232
フランス	2231
噂	2225
約束	2224
もちろん	2224
降る	2223
向ける	2222
怪	2214
ぼんやり	2212
肉	2210
並ぶ	2209
猫	2209
""""	2207
部分	2207
挨拶	2207
他人	2206
たくさん	2206
画	2205
単に	2204
既に	2202
怒る	2198
代り	2198
明治	2197
田舎	2195
気の毒	2192
おっしゃる	2189
といった	2189
歩	2188
済む	2187
承知	2182
殿	2180
松	2180
内容	2179
用いる	2179
命	2173
Ｋ	2171
さすが	2170
部	2168
背	2167
記憶	2166
はじめて	2165
ちがう	2163
運命	2160
みな	2159
竜	2156
つい	2155
医者	2155
児	2152
有	2151
公	2150
捨てる	2149
あり	2144
止める	2142
以外	2141
ツ	2137
価値	2136
暫く	2136
往	2135
満足	2133
師	2133
帆	2132
気分	2131
実	2129
回	2128
返す	2127
午後	2125
常に	2124
性質	2122
地方	2119
よろしい	2119
たしかに	2114
倒れる	2113
骨	2109
案内	2109
魂	2107
途中	2104
とともに	2099
市	2099
わるい	2098
空間	2095
谷	2094
下る	2088
何故	2087
説	2087
名前	2083
多少	2083
あんまり	2083
少女	2080
城	2076
どれ	2073
極めて	2073
世の中	2070
さす	2068
間もなく	2065
おまえ	2064
現象	2061
念	2061
雑誌	2060
